"Gradespan","Grade Band (expanded)","Teaches CS?","Grades Hi","Grades Lo","School District Name","School Name","School Type (School Stats)","School Year","Stage El","Stage Hi","Stage Mi","State","Students","Teaches Cs"
"07 - 08","Middle","Unknown","08","07","MADRID COMM SCHOOL DISTRICT","MADRID JUNIOR HIGH SCHOOL","public","2017","0","0","1","IA","99",
"PK - 06","Elementary","Unknown","06","PK","MANSON NORTHWEST WEBSTER COMM SCHOOL DISTRICT","MANSON NORTHWEST WEBSTER ELEMENTARY SCHOOL-BARNUM","public","2017","1","0","0","IA","442",
"07 - 12","Mixed","No","12","07","MANSON NORTHWEST WEBSTER COMM SCHOOL DISTRICT","MANSON NORTHWEST WEBSTER JUNIOR HIGH/HIGH SCHOOL","public","2017","0","1","1","IA","304","HN"
"PK - 05","Elementary","Unknown","05","PK","MAPLE VALLEY-ANTHON OTO COMM SCHOOL DISTRICT","ANTHON ELEMENTARY","public","2017","1","0","0","IA","106",
"09 - 12","High","No","12","09","MAPLE VALLEY-ANTHON OTO COMM SCHOOL DISTRICT","MAPLE VALLEY-ANTHON OTO HIGH SCHOOL","public","2017","0","1","0","IA","202","No"
"PK - 05","Elementary","No","05","PK","MAPLE VALLEY-ANTHON OTO COMM SCHOOL DISTRICT","MAPLETON ELEMENTARY SCHOOL","public","2017","1","0","0","IA","200","No"
"06 - 08","Middle","Unknown","08","06","MAPLE VALLEY-ANTHON OTO COMM SCHOOL DISTRICT","MVAO MIDDLE SCHOOL","public","2017","0","0","1","IA","130",
"03 - 05","Elementary","Yes","05","03","MAQUOKETA COMM SCHOOL DISTRICT","BRIGGS ELEMENTARY SCHOOL","public","2017","1","0","0","IA","251","Yes"
"PK - 02","Elementary","Unknown","02","PK","MAQUOKETA COMM SCHOOL DISTRICT","CARDINAL ELEMENTARY SCHOOL","public","2017","1","0","0","IA","317",
"09 - 12","High","Yes","12","09","MAQUOKETA COMM SCHOOL DISTRICT","MAQUOKETA COMMUNITY HIGH SCHOOL","public","2017","0","1","0","IA","535","HY"
"06 - 08","Middle","Yes","08","06","MAQUOKETA COMM SCHOOL DISTRICT","MAQUOKETA MIDDLE SCHOOL","public","2017","0","0","1","IA","322","Yes"
"PK - 05","Elementary","Unknown","05","PK","MAQUOKETA VALLEY COMM SCHOOL DISTRICT","DELHI ELEMENTARY SCHOOL","public","2017","1","0","0","IA","158",
"PK - 04","Elementary","Unknown","04","PK","MAQUOKETA VALLEY COMM SCHOOL DISTRICT","EARLVILLE ELEMENTARY SCHOOL","public","2017","1","0","0","IA","99",
