"Gradespan","Grade Band (expanded)","Teaches CS?","Grades Hi","Grades Lo","School District Name","School Name","School Type (School Stats)","School Year","Stage El","Stage Hi","Stage Mi","State","Students","Teaches Cs"
"PK - 06","Elementary","Unknown","06","PK","ADAIR-CASEY COMM SCHOOL DISTRICT","ADAIR-CASEY ELEMENTARY SCHOOL","public","2017","1","0","0","IA","172",
"07 - 12","Mixed","No","12","07","ADAIR-CASEY COMM SCHOOL DISTRICT","ADAIR-CASEY JR-SR HIGH SCHOOL","public","2017","0","1","1","IA","128","HN"
"PK - 02","Elementary","Unknown","02","PK","ADEL DESOTO MINBURN COMM SCHOOL DISTRICT","ADEL ELEMENTARY SCHOOL","public","2017","1","0","0","IA","459",
"06 - 08","Middle","Unknown","08","06","ADEL DESOTO MINBURN COMM SCHOOL DISTRICT","ADM MIDDLE SCHOOL","public","2017","0","0","1","IA","350",
"09 - 12","High","Yes","12","09","ADEL DESOTO MINBURN COMM SCHOOL DISTRICT","ADM SENIOR HIGH SCHOOL","public","2017","0","1","0","IA","483","Yes"
"03 - 05","Elementary","No","05","03","ADEL DESOTO MINBURN COMM SCHOOL DISTRICT","DESOTO INTERMEDIATE SCHOOL","public","2017","1","0","0","IA","365","No"
"PK - 02","Elementary","Unknown","02","PK","AGWSR COMM SCHOOL DISTRICT","AGWSR ELEMENTARY AT WELLSBURG","public","2017","1","0","0","IA","76",
"KG - 05","Elementary","Unknown","05","KG","AGWSR COMM SCHOOL DISTRICT","AGWSR ELEMENTARY SCHOOL","public","2017","1","0","0","IA","200",
"09 - 12","High","No","12","09","AGWSR COMM SCHOOL DISTRICT","AGWSR HIGH SCHOOL","public","2017","0","1","0","IA","168","HN"
"06 - 08","Middle","Unknown","08","06","AGWSR COMM SCHOOL DISTRICT","AGWSR MIDDLE SCHOOL","public","2017","0","0","1","IA","103",
"PK - KG","Elementary","Unknown","KG","PK","AGWSR COMM SCHOOL DISTRICT","THE COUGARS DEN","public","2017","1","0","0","IA","61",
"PK - 06","Elementary","Unknown","06","PK","A-H-S-T COMM SCHOOL DISTRICT","A-H-S-T ELEMENTARY SCHOOL","public","2017","1","0","0","IA","316",
"07 - 12","Mixed","No","12","07","A-H-S-T COMM SCHOOL DISTRICT","A-H-S-T HIGH SCHOOL","public","2017","0","1","1","IA","324","No"
"PK - 05","Elementary","Unknown","05","PK","AKRON WESTFIELD COMM SCHOOL DISTRICT","AKRON WESTFIELD ELEMENTARY SCHOOL","public","2017","1","0","0","IA","283",
"06 - 08","Middle","Unknown","08","06","AKRON WESTFIELD COMM SCHOOL DISTRICT","AKRON WESTFIELD MIDDLE SCHOOL","public","2017","0","0","1","IA","111",
"09 - 12","High","Yes","12","09","AKRON WESTFIELD COMM SCHOOL DISTRICT","AKRON WESTFIELD SENIOR HIGH SCHOOL","public","2017","0","1","0","IA","159","HY"
"PK - 06","Elementary","No","06","PK","ALBERT CITY-TRUESDALE COMM SCHOOL DISTRICT","ALBERT CITY-TRUESDALE ELEMENTARY SCHOOL","public","2017","1","0","0","IA","107","No"
"09 - 12","High","Yes","12","09","ALBIA COMM SCHOOL DISTRICT","ALBIA HIGH SCHOOL","public","2017","0","1","0","IA","358","HY"
"07 - 08","Middle","Yes","08","07","ALBIA COMM SCHOOL DISTRICT","ALBIA MIDDLE SCHOOL","public","2017","0","0","1","IA","165","Yes"
"KG - 02","Elementary","Unknown","02","KG","ALBIA COMM SCHOOL DISTRICT","GRANT CENTER","public","2017","1","0","0","IA","291",
"PK - PK","PK","Unknown","PK","PK","ALBIA COMM SCHOOL DISTRICT","KENDALL CENTER","public","2017","1","0","0","IA","52",
"03 - 06","Mixed","Yes","06","03","ALBIA COMM SCHOOL DISTRICT","LINCOLN CENTER","public","2017","1","0","1","IA","353","Yes"
"PK - 05","Elementary","Unknown","05","PK","ALBURNETT COMM SCHOOL DISTRICT","ALBURNETT ELEMENTARY SCHOOL","public","2017","1","0","0","IA","304",
"06 - 08","Middle","Unknown","08","06","ALBURNETT COMM SCHOOL DISTRICT","ALBURNETT MIDDLE SCHOOL","public","2017","0","0","1","IA","142",
"09 - 12","High","Yes","12","09","ALBURNETT COMM SCHOOL DISTRICT","ALBURNETT SENIOR HIGH SCHOOL","public","2017","0","1","0","IA","207","HY"
"PK - 06","Elementary","Inconsistent","06","PK","ALDEN COMM SCHOOL DISTRICT","ALDEN ELEMENTARY SCHOOL","public","2017","1","0","0","IA","267","Inconsistent"
"09 - 12","High","No","12","09","ALGONA COMM SCHOOL DISTRICT","ALGONA HIGH SCHOOL","public","2017","0","1","0","IA","413","HN"
"05 - 08","Mixed","Unknown","08","05","ALGONA COMM SCHOOL DISTRICT","ALGONA MIDDLE SCHOOL","public","2017","1","0","1","IA","395",
"PK - KG","Elementary","Unknown","KG","PK","ALGONA COMM SCHOOL DISTRICT","BERTHA GODFREY ELEMENTARY SCHOOL","public","2017","1","0","0","IA","220",
"01 - 02","Elementary","Unknown","02","01","ALGONA COMM SCHOOL DISTRICT","BRYANT ELEMENTARY SCHOOL","public","2017","1","0","0","IA","207",
"03 - 04","Elementary","Unknown","04","03","ALGONA COMM SCHOOL DISTRICT","LUCIA WALLACE ELEMENTARY SCHOOL","public","2017","1","0","0","IA","206",
"07 - 08","Middle","Unknown","08","07","ALLAMAKEE COMM SCHOOL DISTRICT","ALLAMAKEE JUNIOR HIGH SCHOOL","public","2017","0","0","1","IA","165",
"03 - 06","Mixed","Unknown","06","03","ALLAMAKEE COMM SCHOOL DISTRICT","EAST CAMPUS ELEMENTARY SCHOOL","public","2017","1","0","1","IA","276",
"PK - 06","Elementary","Unknown","06","PK","ALLAMAKEE COMM SCHOOL DISTRICT","WATERVILLE ELEMENTARY SCHOOL","public","2017","1","0","0","IA","94",
"09 - 12","High","Yes","12","09","ALLAMAKEE COMM SCHOOL DISTRICT","WAUKON HIGH SCHOOL","public","2017","0","1","0","IA","382","Yes"
"PK - 02","Elementary","Unknown","02","PK","ALLAMAKEE COMM SCHOOL DISTRICT","WEST CAMPUS ELEMENTARY SCHOOL","public","2017","1","0","0","IA","223",
"PK - 05","Elementary","Unknown","05","PK","ALTA COMM SCHOOL DISTRICT","ALTA ELEMENTARY SCHOOL","public","2017","1","0","0","IA","336",
"09 - 12","High","No","12","09","ALTA COMM SCHOOL DISTRICT","ALTA-AURELIA HIGH SCHOOL SCHOOL","public","2017","0","1","0","IA","220","HN"
"09 - 12","High","Yes","12","09","AMES COMM SCHOOL DISTRICT","AMES HIGH SCHOOL","public","2017","0","1","0","IA","1271","Yes"
"06 - 08","Middle","Unknown","08","06","AMES COMM SCHOOL DISTRICT","AMES MIDDLE SCHOOL","public","2017","0","0","1","IA","944",
"KG - 05","Elementary","Unknown","05","KG","AMES COMM SCHOOL DISTRICT","EDWARDS ELEMENTARY SCHOOL","public","2017","1","0","0","IA","384",
"KG - 05","Elementary","No","05","KG","AMES COMM SCHOOL DISTRICT","FELLOWS ELEMENTARY SCHOOL","public","2017","1","0","0","IA","463","No"
"KG - 05","Elementary","Unknown","05","KG","AMES COMM SCHOOL DISTRICT","MEEKER ELEMENTARY SCHOOL","public","2017","1","0","0","IA","444",
"KG - 05","Elementary","Unknown","05","KG","AMES COMM SCHOOL DISTRICT","MITCHELL ELEMENTARY SCHOOL","public","2017","1","0","0","IA","286",
"PK - KG","Elementary","Unknown","KG","PK","AMES COMM SCHOOL DISTRICT","NORTHWOOD PRE-SCHOOL","public","2017","1","0","0","IA","292",
"KG - 05","Elementary","Unknown","05","KG","AMES COMM SCHOOL DISTRICT","SAWYER ELEMENTARY SCHOOL","public","2017","1","0","0","IA","349",
"09 - 12","High","Yes","12","09","ANAMOSA COMM SCHOOL DISTRICT","ANAMOSA HIGH SCHOOL","public","2017","0","1","0","IA","382","HY"
"05 - 08","Mixed","No","08","05","ANAMOSA COMM SCHOOL DISTRICT","ANAMOSA MIDDLE SCHOOL","public","2017","1","0","1","IA","386","No"
"PK - 04","Elementary","Unknown","04","PK","ANAMOSA COMM SCHOOL DISTRICT","STRAWBERRY HILL","public","2017","1","0","0","IA","514",
"PK - 05","Elementary","Unknown","05","PK","ANDREW COMM SCHOOL DISTRICT","ANDREW ELEMENTARY SCHOOL","public","2017","1","0","0","IA","121",
"06 - 08","Middle","Unknown","08","06","ANDREW COMM SCHOOL DISTRICT","ANDREW MIDDLE SCHOOL","public","2017","0","0","1","IA","53",
"10 - 12","High","Yes","12","10","ANKENY COMM SCHOOL DISTRICT","ANKENY CENTENNIAL HIGH SCHOOL","public","2017","0","1","0","IA","1028","Yes"
"10 - 12","High","Yes","12","10","ANKENY COMM SCHOOL DISTRICT","ANKENY HIGH SCHOOL","public","2017","0","1","0","IA","954","HY"
"PK - 05","Elementary","No","05","PK","ANKENY COMM SCHOOL DISTRICT","ASHLAND RIDGE ELEMENTARY","public","2017","1","0","0","IA","526","No"
"PK - 05","Elementary","Unknown","05","PK","ANKENY COMM SCHOOL DISTRICT","CROCKER ELEMENTARY SCHOOL","public","2017","1","0","0","IA","633",
"PK - 05","Elementary","No","05","PK","ANKENY COMM SCHOOL DISTRICT","EAST ELEMENTARY SCHOOL","public","2017","1","0","0","IA","430","No"
"PK - 05","Elementary","Unknown","05","PK","ANKENY COMM SCHOOL DISTRICT","NORTHEAST ELEMENTARY","public","2017","1","0","0","IA","666",
"08 - 09","Mixed","No","09","08","ANKENY COMM SCHOOL DISTRICT","NORTHVIEW MIDDLE SCHOOL","public","2017","0","1","1","IA","759","HN"
"PK - 05","Elementary","No","05","PK","ANKENY COMM SCHOOL DISTRICT","NORTHWEST ELEMENTARY SCHOOL","public","2017","1","0","0","IA","405","No"
"06 - 07","Middle","Unknown","07","06","ANKENY COMM SCHOOL DISTRICT","PARKVIEW MIDDLE SCHOOL","public","2017","0","0","1","IA","796",
"06 - 07","Middle","Unknown","07","06","ANKENY COMM SCHOOL DISTRICT","PRAIRIE RIDGE MIDDLE SCHOOL","public","2017","0","0","1","IA","797",
"PK - 05","Elementary","Unknown","05","PK","ANKENY COMM SCHOOL DISTRICT","PRAIRIE TRAIL ELEMENTARY","public","2017","1","0","0","IA","699",
"PK - 05","Elementary","Unknown","05","PK","ANKENY COMM SCHOOL DISTRICT","ROCK CREEK ELEMENTARY","public","2017","1","0","0","IA","574",
"KG - 05","Elementary","No","05","KG","ANKENY COMM SCHOOL DISTRICT","SOUTHEAST ELEMENTARY SCHOOL","public","2017","1","0","0","IA","624","No"
"08 - 09","Mixed","Yes","09","08","ANKENY COMM SCHOOL DISTRICT","SOUTHVIEW MIDDLE SCHOOL","public","2017","0","1","1","IA","677","Yes"
"PK - 05","Elementary","No","05","PK","ANKENY COMM SCHOOL DISTRICT","TERRACE ELEMENTARY SCHOOL","public","2017","1","0","0","IA","449","No"
"PK - 05","Elementary","Unknown","05","PK","ANKENY COMM SCHOOL DISTRICT","WESTWOOD ELEMENTARY SCHOOL","public","2017","1","0","0","IA","576",
"06 - 08","Middle","Yes","08","06","APLINGTON-PARKERSBURG COMM SCHOOL DISTRICT","APLINGTON / PARKERSBURG MIDDLE SCHOOL","public","2017","0","0","1","IA","177","Yes"
"KG - 05","Elementary","No","05","KG","APLINGTON-PARKERSBURG COMM SCHOOL DISTRICT","APLINGTON ELEMENTARY SCHOOL","public","2017","1","0","0","IA","169","No"
"09 - 12","High","No","12","09","APLINGTON-PARKERSBURG COMM SCHOOL DISTRICT","APLINGTON PARKERSBURG HIGH SCHOOL","public","2017","0","1","0","IA","276","No"
"PK - 04","Elementary","Unknown","04","PK","APLINGTON-PARKERSBURG COMM SCHOOL DISTRICT","PARKERSBURG ELEMENTARY SCHOOL","public","2017","1","0","0","IA","246",
"PK - 05","Elementary","Unknown","05","PK","AR-WE-VA COMM SCHOOL DISTRICT","AR-WE-VA ELEMENTARY COMMUNITY SCHOOL","public","2017","1","0","0","IA","131",
"06 - 12","Mixed","No","12","06","AR-WE-VA COMM SCHOOL DISTRICT","WESTSIDE JUNIOR-SENIOR HIGH SCHOOL","public","2017","0","1","1","IA","106","HN"
"09 - 12","High","No","12","09","ATLANTIC COMM SCHOOL DISTRICT","ATLANTIC HIGH SCHOOL","public","2017","0","1","0","IA","449","HN"
"06 - 08","Middle","Yes","08","06","ATLANTIC COMM SCHOOL DISTRICT","ATLANTIC MIDDLE SCHOOL","public","2017","0","0","1","IA","330","Yes"
"04 - 05","Elementary","Yes","05","04","ATLANTIC COMM SCHOOL DISTRICT","SCHULER ELEMENTARY SCHOOL","public","2017","1","0","0","IA","215","Yes"
"PK - 03","Elementary","Unknown","03","PK","ATLANTIC COMM SCHOOL DISTRICT","WASHINGTON ELEMENTARY SCHOOL","public","2017","1","0","0","IA","537",
"PK - 04","Elementary","Unknown","04","PK","AUDUBON COMM SCHOOL DISTRICT","AUDUBON ELEMENTARY SCHOOL","public","2017","1","0","0","IA","249",
"05 - 12","Mixed","Yes","12","05","AUDUBON COMM SCHOOL DISTRICT","AUDUBON MIDDLE-HIGH SCHOOL","public","2017","1","1","1","IA","327","Yes"
"PK - 05","Elementary","Unknown","05","PK","AURELIA COMM SCHOOL DISTRICT","AURELIA ELEMENTARY SCHOOL","public","2017","1","0","0","IA","89",
"06 - 08","Middle","Unknown","08","06","AURELIA COMM SCHOOL DISTRICT","AURELIA MIDDLE SCHOOL","public","2017","0","0","1","IA","173",
"06 - 08","Middle","Inconsistent","08","06","BALLARD COMM SCHOOL DISTRICT","BALLARD COMMUNITY MIDDLE SCHOOL","public","2017","0","0","1","IA","403","Inconsistent"
"09 - 12","High","Yes","12","09","BALLARD COMM SCHOOL DISTRICT","BALLARD COMMUNITY SENIOR HIGH SCHOOL","public","2017","0","1","0","IA","536","HY"
"03 - 05","Elementary","Unknown","05","03","BALLARD COMM SCHOOL DISTRICT","EAST ELEMENTARY","public","2017","1","0","0","IA","342",
"PK - 02","Elementary","Unknown","02","PK","BALLARD COMM SCHOOL DISTRICT","WEST ELEMENTARY","public","2017","1","0","0","IA","451",
"","Mixed","Unknown","","","BATTLE CREEK-IDA GROVE COMM SCHOOL DISTRICT","BATTLE CREEK-IDA GROVE INTERMEDIATE SCHOOL","public","2017","","","","IA","",
"09 - 12","High","No","12","09","BATTLE CREEK-IDA GROVE COMM SCHOOL DISTRICT","BATTLE CREEK-IDA GROVE SENIOR HIGH SCHOOL","public","2017","0","1","0","IA","256","HN"
"PK - 05","Elementary","Yes","05","PK","BATTLE CREEK-IDA GROVE COMM SCHOOL DISTRICT","BCIG ELEMENTARY SCHOOL","public","2017","1","0","0","IA","378","Yes"
"PK - 05","Elementary","No","05","PK","BAXTER COMM SCHOOL DISTRICT","BAXTER ELEMENTARY SCHOOL","public","2017","1","0","0","IA","233","No"
"06 - 12","Mixed","No","12","06","BAXTER COMM SCHOOL DISTRICT","BAXTER HIGH SCHOOL","public","2017","0","1","1","IA","226","HN"
"PK - 04","Elementary","Unknown","04","PK","BCLUW COMM SCHOOL DISTRICT","BCLUW ELEMENTARY SCHOOL","public","2017","1","0","0","IA","255",
"09 - 12","High","No","12","09","BCLUW COMM SCHOOL DISTRICT","BCLUW HIGH SCHOOL","public","2017","0","1","0","IA","202","HN"
"05 - 08","Mixed","Unknown","08","05","BCLUW COMM SCHOOL DISTRICT","BCLUW MIDDLE SCHOOL","public","2017","1","0","1","IA","184",
"PK - 05","Elementary","Unknown","05","PK","BEDFORD COMM SCHOOL DISTRICT","BEDFORD ELEMENTARY SCHOOL","public","2017","1","0","0","IA","239",
"06 - 12","Mixed","No","12","06","BEDFORD COMM SCHOOL DISTRICT","BEDFORD HIGH SCHOOL","public","2017","0","1","1","IA","240","HN"
"07 - 12","Mixed","Yes","12","07","BELLE PLAINE COMM SCHOOL DISTRICT","BELLE PLAINE JR/SR HIGH SCHOOL","public","2017","0","1","1","IA","241","Yes"
"PK - 06","Elementary","Yes","06","PK","BELLE PLAINE COMM SCHOOL DISTRICT","LONGFELLOW ELEMENTARY SCHOOL","public","2017","1","0","0","IA","325","Yes"
"PK - 05","Elementary","Unknown","05","PK","BELLEVUE COMM SCHOOL DISTRICT","BELLEVUE ELEMENTARY SCHOOL","public","2017","1","0","0","IA","319",
"06 - 12","Mixed","Yes","12","06","BELLEVUE COMM SCHOOL DISTRICT","BELLEVUE HIGH SCHOOL","public","2017","0","1","1","IA","375","HY"
"09 - 12","High","No","12","09","BELMOND-KLEMME COMM SCHOOL DISTRICT","BELMOND-KLEMME ALTERNATIVE SCHOOL","public","2017","0","1","0","IA","4","HN"
"07 - 12","Mixed","Yes","12","07","BELMOND-KLEMME COMM SCHOOL DISTRICT","BELMOND-KLEMME COMMUNITY JR-SR HIGH SCHOOL","public","2017","0","1","1","IA","297","Yes"
"PK - 06","Elementary","Yes","06","PK","BELMOND-KLEMME COMM SCHOOL DISTRICT","RICHARD O. JACOBSON ELEMENTARY SCHOOL","public","2017","1","0","0","IA","483","Yes"
"PK - 06","Elementary","Unknown","06","PK","BENNETT COMM SCHOOL DISTRICT","BENNETT ELEMENTARY SCHOOL","public","2017","1","0","0","IA","86",
"PK - 04","Elementary","Unknown","04","PK","BENTON COMM SCHOOL DISTRICT","ATKINS ELEMENTARY SCHOOL","public","2017","1","0","0","IA","280",
"07 - 08","Middle","Unknown","08","07","BENTON COMM SCHOOL DISTRICT","BENTON COMMUNITY MIDDLE SCHOOL","public","2017","0","0","1","IA","207",
"09 - 12","High","No","12","09","BENTON COMM SCHOOL DISTRICT","BENTON COMMUNITY SENIOR HIGH SCHOOL","public","2017","0","1","0","IA","467","HN"
"03 - 06","Mixed","No","06","03","BENTON COMM SCHOOL DISTRICT","KEYSTONE ELEMENTARY SCHOOL","public","2017","1","0","1","IA","135","No"
"PK - 06","Elementary","Inconsistent","06","PK","BENTON COMM SCHOOL DISTRICT","NORWAY ELEMENTARY SCHOOL","public","2017","1","0","0","IA","336","Inconsistent"
"PK - 02","Elementary","Unknown","02","PK","BENTON COMM SCHOOL DISTRICT","VAN HORNE ELEMENTARY SCHOOL","public","2017","1","0","0","IA","123",
"09 - 12","High","Yes","12","09","BETTENDORF COMM SCHOOL DISTRICT","BETTENDORF HIGH SCHOOL","public","2017","0","1","0","IA","1467","Yes"
"06 - 08","Middle","Yes","08","06","BETTENDORF COMM SCHOOL DISTRICT","BETTENDORF MIDDLE SCHOOL","public","2017","0","0","1","IA","1058","Yes"
"PK - 05","Elementary","No","05","PK","BETTENDORF COMM SCHOOL DISTRICT","GRANT WOOD ELEMENTARY SCHOOL","public","2017","1","0","0","IA","348","No"
"KG - 05","Elementary","No","05","KG","BETTENDORF COMM SCHOOL DISTRICT","HERBERT HOOVER ELEMENTARY SCHOOL","public","2017","1","0","0","IA","407","No"
"PK - 05","Elementary","Unknown","05","PK","BETTENDORF COMM SCHOOL DISTRICT","MARK TWAIN ELEMENTARY SCHOOL","public","2017","1","0","0","IA","304",
"PK - 05","Elementary","Unknown","05","PK","BETTENDORF COMM SCHOOL DISTRICT","NEIL ARMSTRONG ELEMENTARY SCHOOL","public","2017","1","0","0","IA","297",
"KG - 05","Elementary","Unknown","05","KG","BETTENDORF COMM SCHOOL DISTRICT","PAUL NORTON ELEMENTARY SCHOOL","public","2017","1","0","0","IA","450",
"PK - 05","Elementary","Unknown","05","PK","BETTENDORF COMM SCHOOL DISTRICT","THOMAS JEFFERSON ELEMENTARY SCHOOL","public","2017","1","0","0","IA","148",
"03 - 05","Elementary","Unknown","05","03","BONDURANT-FARRAR COMM SCHOOL DISTRICT","ANDERSON ELEMENTARY SCHOOL","public","2017","1","0","0","IA","536",
"06 - 08","Middle","Unknown","08","06","BONDURANT-FARRAR COMM SCHOOL DISTRICT","BONDURANT - FARRAR MIDDLE SCHOOL","public","2017","0","0","1","IA","395",
"09 - 12","High","Yes","12","09","BONDURANT-FARRAR COMM SCHOOL DISTRICT","BONDURANT-FARRAR HIGH SCHOOL","public","2017","0","1","0","IA","455","HY"
"KG - 02","Elementary","Yes","02","KG","BONDURANT-FARRAR COMM SCHOOL DISTRICT","MORRIS ELEMENTARY","public","2017","1","0","0","IA","461","Yes"
"09 - 12","High","Yes","12","09","BOONE COMM SCHOOL DISTRICT","BOONE HIGH SCHOOL","public","2017","0","1","0","IA","702","HY"
"05 - 08","Mixed","Yes","08","05","BOONE COMM SCHOOL DISTRICT","BOONE MIDDLE SCHOOL","public","2017","1","0","1","IA","571","Yes"
"02 - 04","Elementary","No","04","02","BOONE COMM SCHOOL DISTRICT","FRANKLIN ELEMENTARY SCHOOL","public","2017","1","0","0","IA","394","No"
"09 - 12","High","No","12","09","BOONE COMM SCHOOL DISTRICT","FUTURES","public","2017","0","1","0","IA","48","HN"
"PK - 01","Elementary","Unknown","01","PK","BOONE COMM SCHOOL DISTRICT","LINCOLN ELEMENTARY SCHOOL","public","2017","1","0","0","IA","181",
"PK - 01","Elementary","Unknown","01","PK","BOONE COMM SCHOOL DISTRICT","PAGE ELEMENTARY SCHOOL","public","2017","1","0","0","IA","175",
"PK - 06","Elementary","Unknown","06","PK","BOYDEN-HULL COMM SCHOOL DISTRICT","BOYDEN-HULL ELEMENTARY SCHOOL","public","2017","1","0","0","IA","365",
"07 - 12","Mixed","Yes","12","07","BOYDEN-HULL COMM SCHOOL DISTRICT","BOYDEN-HULL HIGH SCHOOL","public","2017","0","1","1","IA","295","Yes"
"PK - 05","Elementary","Unknown","05","PK","BOYER VALLEY COMM SCHOOL DISTRICT","BOYER VALLEY ELEMENTARY SCHOOL","public","2017","1","0","0","IA","230",
"06 - 12","Mixed","Yes","12","06","BOYER VALLEY COMM SCHOOL DISTRICT","BOYER VALLEY MIDDLE/HIGH SCHOOL","public","2017","0","1","1","IA","253","Yes"
"PK - 06","Elementary","Unknown","06","PK","BROOKLYN-GUERNSEY-MALCOM COMM SCHOOL DISTRICT","BROOKLYN-GUERNSEY-MALCOM ELEMENTARY SCHOOL","public","2017","1","0","0","IA","317",
"07 - 12","Mixed","Yes","12","07","BROOKLYN-GUERNSEY-MALCOM COMM SCHOOL DISTRICT","BROOKLYN-GUERNSEY-MALCOM JR-SR HIGH SCHOOL","public","2017","0","1","1","IA","275","Yes"
"06 - 08","Middle","Yes","08","06","BURLINGTON COMM SCHOOL DISTRICT","ALDO LEOPOLD MIDDLE SCHOOL","public","2017","0","0","1","IA","410","Yes"
"PK - 05","Elementary","Unknown","05","PK","BURLINGTON COMM SCHOOL DISTRICT","BLACK HAWK ELEMENTARY SCHOOL","public","2017","1","0","0","IA","513",
"09 - 12","High","No","12","09","BURLINGTON COMM SCHOOL DISTRICT","BURLINGTON ALTERNATIVE SCHOOL","public","2017","0","1","0","IA","116","HN"
"09 - 12","High","Yes","12","09","BURLINGTON COMM SCHOOL DISTRICT","BURLINGTON COMMUNITY HIGH SCHOOL","public","2017","0","1","0","IA","1073","HY"
"PK - 05","Elementary","Unknown","05","PK","BURLINGTON COMM SCHOOL DISTRICT","CORSE ELEMENTARY SCHOOL","public","2017","1","0","0","IA","327",
"06 - 08","Middle","Unknown","08","06","BURLINGTON COMM SCHOOL DISTRICT","EDWARD STONE MIDDLE SCHOOL","public","2017","0","0","1","IA","465",
"PK - 05","Elementary","Yes","05","PK","BURLINGTON COMM SCHOOL DISTRICT","JAMES WILSON GRIMES SCHOOL","public","2017","1","0","0","IA","417","Yes"
"PK - 05","Elementary","Unknown","05","PK","BURLINGTON COMM SCHOOL DISTRICT","NORTH HILL ELEMENTARY SCHOOL","public","2017","1","0","0","IA","394",
"PK - 05","Elementary","Yes","05","PK","BURLINGTON COMM SCHOOL DISTRICT","SUNNYSIDE ELEMENTARY SCHOOL","public","2017","1","0","0","IA","485","Yes"
"07 - 12","Mixed","Yes","12","07","CAL COMM SCHOOL DISTRICT","CAL COMMUNITY HIGH SCHOOL","public","2017","0","1","1","IA","103","HY"
"PK - 06","Elementary","Unknown","06","PK","CAL COMM SCHOOL DISTRICT","CAL ELEMENTARY SCHOOL","public","2017","1","0","0","IA","155",
"PK - 06","Elementary","Unknown","06","PK","CALAMUS-WHEATLAND COMM SCHOOL DISTRICT","CALAMUS-WHEATLAND ELEM ATTENDANCE CENTER","public","2017","1","0","0","IA","278",
"07 - 12","Mixed","No","12","07","CALAMUS-WHEATLAND COMM SCHOOL DISTRICT","CALAMUS-WHEATLAND SEC ATTENDANCE CENTER","public","2017","0","1","1","IA","243","HN"
"09 - 12","High","No","12","09","CAM COMM SCHOOL DISTRICT","CAM HIGH SCHOOL","public","2017","0","1","0","IA","119","No"
"06 - 08","Middle","Yes","08","06","CAM COMM SCHOOL DISTRICT","CAM MIDDLE SCHOOL","public","2017","0","0","1","IA","99","Yes"
"PK - 05","Elementary","Unknown","05","PK","CAM COMM SCHOOL DISTRICT","CAM NORTH ELEMENTARY","public","2017","1","0","0","IA","121",
"PK - 05","Elementary","Unknown","05","PK","CAM COMM SCHOOL DISTRICT","CAM SOUTH ELEMENTARY SCHOOL","public","2017","1","0","0","IA","117",
"KG - 05","Elementary","Unknown","05","KG","CAM COMM SCHOOL DISTRICT","IOWA CONNECTIONS ACADEMY ELEMENTARY","public","2017","1","0","0","IA","90",
"09 - 12","High","No","12","09","CAM COMM SCHOOL DISTRICT","IOWA CONNECTIONS ACADEMY HIGH SCHOOL","public","2017","0","1","0","IA","229","HN"
"06 - 08","Middle","Unknown","08","06","CAM COMM SCHOOL DISTRICT","IOWA CONNECTIONS ACADEMY MIDDLE SCHOOL","public","2017","0","0","1","IA","96",
"PK - 04","Elementary","Yes","04","PK","CAMANCHE COMM SCHOOL DISTRICT","CAMANCHE ELEMENTARY SCHOOL","public","2017","1","0","0","IA","441","Yes"
"09 - 12","High","Yes","12","09","CAMANCHE COMM SCHOOL DISTRICT","CAMANCHE HIGH SCHOOL","public","2017","0","1","0","IA","332","HY"
"05 - 08","Mixed","Unknown","08","05","CAMANCHE COMM SCHOOL DISTRICT","CAMANCHE MIDDLE SCHOOL","public","2017","1","0","1","IA","314",
"PK - 05","Elementary","Unknown","05","PK","CARDINAL COMM SCHOOL DISTRICT","CARDINAL ELEMENTARY SCHOOL","public","2017","1","0","0","IA","392",
"06 - 12","Mixed","Yes","12","06","CARDINAL COMM SCHOOL DISTRICT","CARDINAL MIDDLE-SENIOR HIGH SCHOOL","public","2017","0","1","1","IA","332","HY"
"PK - 03","Elementary","No","03","PK","CARLISLE COMM SCHOOL DISTRICT","CARLISLE ELEMENTARY SCHOOL","public","2017","1","0","0","IA","736","No"
"09 - 12","High","Yes","12","09","CARLISLE COMM SCHOOL DISTRICT","CARLISLE HIGH SCHOOL","public","2017","0","1","0","IA","629","HY"
"06 - 08","Middle","Inconsistent","08","06","CARLISLE COMM SCHOOL DISTRICT","CARLISLE MIDDLE SCHOOL","public","2017","0","0","1","IA","468","Inconsistent"
"04 - 05","Elementary","Yes","05","04","CARLISLE COMM SCHOOL DISTRICT","HARTFORD UPPER ELEMENTAR","public","2017","1","0","0","IA","288","Yes"
"03 - 04","Elementary","Unknown","04","03","CARROLL COMM SCHOOL DISTRICT","ADAMS ELEMENTARY SCHOOL","public","2017","1","0","0","IA","278",
"09 - 12","High","No","12","09","CARROLL COMM SCHOOL DISTRICT","CARROLL HIGH SCHOOL","public","2017","0","1","0","IA","503","HN"
"05 - 08","Mixed","Unknown","08","05","CARROLL COMM SCHOOL DISTRICT","CARROLL MIDDLE SCHOOL","public","2017","1","0","1","IA","462",
"PK - 02","Elementary","Unknown","02","PK","CARROLL COMM SCHOOL DISTRICT","FAIRVIEW ELEMENTARY SCHOOL","public","2017","1","0","0","IA","557",
"","Mixed","Unknown","","","CEDAR FALLS COMM SCHOOL DISTRICT","CEDAR FALLS ALTERNATIVE","public","2017","","","","IA","",
